source,author,title,description,url,urlToImage,publishedAt,content,label,text,length,tokens,num_tokens
"{'id': None, 'name': 'Slate Magazine'}","Emily Peck, Felix Salmon, and Elizabeth Spiers",Elon Musk Wants His Payday,Elon Musk is bad for Tesla. Why does it want to pay $56 billion to keep him?,https://slate.com/podcasts/slate-money/2024/04/business-tesla-wants-to-keep-elon-musk-and-musk-wants-a-big-payday,https://compote.slate.com/images/0ad4cce0-1643-405e-b092-a65cc2f24b9e.jpeg?crop=1560%2C1040%2Cx0%2Cy0&width=1560,2024-04-20T09:00:00Z,"This week: Elon Musk wants his colossal, court-blocked pay package, and Teslas board wants to give it to him. Felix Salmon, Emily Peck, and Elizabeth Spiers also chat with Alicia Montgomery, current … [+578 chars]",tesla,Elon Musk Wants His Payday Elon Musk is bad for Tesla. Why does it want to pay $56 billion to keep him?,103.0,"['elon', 'musk', 'wants', 'payday', 'elon', 'musk', 'bad', 'want', 'pay', 'billion', 'keep']",11
"{'id': None, 'name': 'BMWBLOG'}",Adrian Padeanu,The New Tesla Model 3 Performance Rivals The 2025 BMW i4 M50,"We’re mere hours away from the world premiere of the 2025 i4 M50 but Tesla is beating BMW to the punch with its own update for the Model 3 Performance. It inherits the subtle design...
First published by https://www.bmwblog.com",https://www.bmwblog.com/2024/04/23/new-tesla-model-3-performance/,https://cdn.bmwblog.com/wp-content/uploads/2024/04/Tesla-Model-3-Performance-7.jpg,2024-04-23T17:28:07Z,Were mere hours away from the world premiere of the 2025 i4 M50 but Tesla is beating BMW to the punch with its own update for the Model 3 Performance. It inherits the subtle design revisions of the r… [+1862 chars],tesla,"The New Tesla Model 3 Performance Rivals The 2025 BMW i4 M50 We’re mere hours away from the world premiere of the 2025 i4 M50 but Tesla is beating BMW to the punch with its own update for the Model 3 Performance. It inherits the subtle design...
First published by https://www.bmwblog.com",288.0,"['new', 'model', 'performance', 'rivals', 'bmw', 'i4', 'm50', 'mere', 'hours', 'away', 'world', 'premiere', 'i4', 'm50', 'beating', 'bmw', 'punch', 'update', 'model', 'performance', 'inherits', 'subtle', 'design', 'first', 'published', 'https', 'www', 'bmwblog', 'com']",29
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC Radio 4,Nikola Tesla,Melvyn Bragg and guests discuss the Serbian-American inventor Nikola Tesla (1856-1943) and his role in the development of electrical systems towards the end of the nineteenth century. He made his name in New York in the contest over which current should flow …,https://www.bbc.co.uk/programmes/m001xvhb,https://ichef.bbci.co.uk/images/ic/1200x675/p0h5bdr7.jpg,2024-05-02T09:15:00Z,Melvyn Bragg and guests discuss the Serbian-American inventor Nikola Tesla (1856-1943) and his role in the development of electrical systems towards the end of the nineteenth century. He made his nam… [+1895 chars],tesla,Nikola Tesla Melvyn Bragg and guests discuss the Serbian-American inventor Nikola Tesla (1856-1943) and his role in the development of electrical systems towards the end of the nineteenth century. He made his name in New York in the contest over which current should flow …,273.0,"['nikola', 'melvyn', 'bragg', 'guests', 'discuss', 'serbian-american', 'inventor', 'nikola', 'role', 'development', 'electrical', 'systems', 'towards', 'end', 'nineteenth', 'century', 'made', 'name', 'new', 'york', 'contest', 'current', 'flow']",23
"{'id': None, 'name': 'redmondpie.com'}",Oliver Haslam,"New Off-Road Cybertruck Features Detailed, Including CyberTent, More","New off-road Cybertruck features have just been detailed, including a new CyberTent mode, and more. Here are all the details.
The post New Off-Road Cybertruck Features Detailed, Including CyberTent, More first appeared on Redmond Pie.",https://www.redmondpie.com/new-off-road-cybertruck-features-detailed-including-cybertent-more/,https://cdn.redmondpie.com/wp-content/uploads/2024/04/offroad.jpg,2024-04-29T18:14:44Z,"Tesla has announced a new Cybertruck software update that is going to add new off-roading capabilities to the electric truck, including CyberTent mode.
The Cybertruck has been available for a couple… [+1759 chars]",tesla,"New Off-Road Cybertruck Features Detailed, Including CyberTent, More New off-road Cybertruck features have just been detailed, including a new CyberTent mode, and more. Here are all the details.
The post New Off-Road Cybertruck Features Detailed, Including CyberTent, More first appeared on Redmond Pie.",303.0,"['new', 'off-road', 'cybertruck', 'features', 'detailed', 'including', 'cybertent', 'new', 'off-road', 'cybertruck', 'features', 'detailed', 'including', 'new', 'cybertent', 'mode', 'details', 'post', 'new', 'off-road', 'cybertruck', 'features', 'detailed', 'including', 'cybertent', 'first', 'appeared', 'redmond', 'pie']",29
"{'id': None, 'name': 'Daily Beast'}",Kate Briquelet,‘I’m Still in Denial’: Tesla Layoffs Leave Interns High and Dry,"Peter Cziborra/Reuters 
One New York college student was ready to spend the summer in Palo Alto with Tesla’s engineering HR team. Another from Michigan spent thousands on housing for an internship in Austin, Texas, to work with the electric automaker’s firmw…",https://www.thedailybeast.com/im-still-in-denial-tesla-layoffs-leave-interns-high-and-dry,"https://img.thedailybeast.com/image/upload/c_crop,d_placeholder_euli9k,h_2685,w_4773,x_184,y_0/dpr_2.0/c_limit,w_740/fl_lossy,q_auto/v1714783841/2024-04-26T102511Z_760980285_RC2YU6AXLBAJ_RTRMADP_3_TESLA-AUTOPILOT-INVESTIGATION_ynwciq",2024-05-04T00:58:29Z,"One New York college student was ready to spend the summer in Palo Alto with Teslas engineering HR team. Another from Michigan spent thousands on housing for an internship in Austin, Texas, to work w… [+7425 chars]",tesla,"‘I’m Still in Denial’: Tesla Layoffs Leave Interns High and Dry Peter Cziborra/Reuters 
One New York college student was ready to spend the summer in Palo Alto with Tesla’s engineering HR team. Another from Michigan spent thousands on housing for an internship in Austin, Texas, to work with the electric automaker’s firmw…",324.0,"['still', 'denial', 'layoffs', 'leave', 'interns', 'high', 'dry', 'peter', 'cziborra', 'reuters', 'one', 'new', 'york', 'college', 'student', 'ready', 'spend', 'summer', 'palo', 'alto', 'engineering', 'hr', 'team', 'another', 'michigan', 'spent', 'thousands', 'housing', 'internship', 'austin', 'texas', 'work', 'electric', 'automaker', 'firmw']",35
"{'id': None, 'name': ""Paul Tan's Automotive News""}",Paul Tan,Tesla Cybertruck on display to public at Pavilion Damansara Heights showroom until May 17,"Tesla Malaysia has announced that the Tesla Cybertruck will be on display to members of the public at the Tesla Experience Centre Pavilion Damansara Heights starting from tomorrow (April 30 2024) up to May 17 […]
The post Tesla Cybertruck on display to public…",https://paultan.org/2024/04/29/tesla-cybertruck-on-display-to-public-at-pavilion-damansara-heights-showroom-until-may-17/,https://paultan.org/image/2024/04/Snapinsta.app_440923715_444863994752220_8380656726953920538_n_1080-630x419.jpg,2024-04-29T12:13:15Z,Tesla Malaysia has announced that the Tesla Cybertruck will be on display to members of the public at the Tesla Experience Centre Pavilion Damansara Heights starting from tomorrow (April 30 2024) up … [+1982 chars],tesla,"Tesla Cybertruck on display to public at Pavilion Damansara Heights showroom until May 17 Tesla Malaysia has announced that the Tesla Cybertruck will be on display to members of the public at the Tesla Experience Centre Pavilion Damansara Heights starting from tomorrow (April 30 2024) up to May 17 […]
The post Tesla Cybertruck on display to public…",350.0,"['cybertruck', 'display', 'public', 'pavilion', 'damansara', 'heights', 'showroom', 'may', 'malaysia', 'announced', 'cybertruck', 'display', 'members', 'public', 'experience', 'centre', 'pavilion', 'damansara', 'heights', 'starting', 'tomorrow', 'april', 'may', 'post', 'cybertruck', 'display', 'public']",27
"{'id': 'rt', 'name': 'RT'}",RT,Tesla stock soars on China deal rumors,"Tesla CEO Elon Musk has reportedly taken steps toward bringing autopilot software to China, causing shares in the automaker to surge Read Full Article at RT.com",https://www.rt.com/business/596758-tesla-shares-china-autopilot-musk/,https://mf.b37mrtl.ru/files/2024.04/article/662fafb520302717c8371c65.jpg,2024-04-29T14:29:56Z,Shares in Tesla have surged following reports that CEO Elon Musk has agreed to partner with Chinese tech giant Baidu for mapping and navigation features to support autonomous driving technology in th… [+2499 chars],tesla,"Tesla stock soars on China deal rumors Tesla CEO Elon Musk has reportedly taken steps toward bringing autopilot software to China, causing shares in the automaker to surge Read Full Article at RT.com",199.0,"['stock', 'soars', 'china', 'deal', 'rumors', 'ceo', 'elon', 'musk', 'reportedly', 'taken', 'steps', 'toward', 'bringing', 'autopilot', 'software', 'china', 'causing', 'shares', 'automaker', 'surge', 'read', 'full', 'article', 'rt', 'com']",25
"{'id': None, 'name': 'Windows Central'}",samuelwtolbert@gmail.com (Samuel Tolbert),"PSA: Fallout 4 next-gen update is now available on Xbox, PlayStation and Windows PC","The current-generation upgrade for Fallout 4 is finally available, bringing improved visual modes, new features, bug fixes, and more to players on Xbox Series X|S, Windows PC, and PlayStation 5.",https://www.windowscentral.com/gaming/xbox/psa-fallout-4-current-generation-update-is-now-available-on-xbox-and-windows-pc,https://cdn.mos.cms.futurecdn.net/Vvt2QJg9ztAQbLJDUK7r54-1200-80.png,2024-04-25T15:26:19Z,"What you need to know
<ul><li>Fallout 4's current-generation upgrade is available now on Xbox Series X|S, Windows PC, and PlayStation. </li><li>This update is free for anyone that already owns the g… [+5186 chars]",tesla,"PSA: Fallout 4 next-gen update is now available on Xbox, PlayStation and Windows PC The current-generation upgrade for Fallout 4 is finally available, bringing improved visual modes, new features, bug fixes, and more to players on Xbox Series X|S, Windows PC, and PlayStation 5.",278.0,"['psa', 'fallout', 'next-gen', 'update', 'available', 'xbox', 'playstation', 'windows', 'pc', 'current-generation', 'upgrade', 'fallout', 'finally', 'available', 'bringing', 'improved', 'visual', 'modes', 'new', 'features', 'bug', 'fixes', 'players', 'xbox', 'series', 'x', 'windows', 'pc', 'playstation']",29
"{'id': 'nbc-news', 'name': 'NBC News'}",Rob Wile and Brian Cheung,Doubts about Tesla's performance reach fever pitch as electric vehicle giant reports earnings,"Doubts persist for Tesla as demand for electric vehicles slows, and as some critics contend that Elon Musk seems to be devoting more energy to other projects.",https://www.nbcnews.com/business/business-news/tesla-earnings-report-elon-musk-what-happens-next-sales-robotaxis-rcna148987,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-04/240423-elon-musk-ch-1550-42e727.jpg",2024-04-23T20:39:16Z,"Tesla has a reputation for making headlines.
But the Elon Musk-helmed electric vehicle giant is now facing some of the biggest questions in its history amid weakening sales and questions about Musk'… [+5522 chars]",tesla,"Doubts about Tesla's performance reach fever pitch as electric vehicle giant reports earnings Doubts persist for Tesla as demand for electric vehicles slows, and as some critics contend that Elon Musk seems to be devoting more energy to other projects.",252.0,"['doubts', 'performance', 'reach', 'fever', 'pitch', 'electric', 'vehicle', 'giant', 'reports', 'earnings', 'doubts', 'persist', 'demand', 'electric', 'vehicles', 'slows', 'critics', 'contend', 'elon', 'musk', 'seems', 'devoting', 'energy', 'projects']",24
"{'id': None, 'name': 'Biztoc.com'}",barrons.com,The Rest of the Results,"Beyond EPS and revenue , here's what else was in Tesla's first-quarter earnings report: Lower deliveries and prices pressured profitability. Automotive gross profit margins, excluding regulatory credits, came in at 16.4%, down from almost 19% a year ago. The …",https://biztoc.com/x/7bde68cf9900b2b0,https://c.biztoc.com/p/7bde68cf9900b2b0/s.webp,2024-04-23T21:06:12Z,"Beyond EPS and revenue , here's what else was in Tesla's first-quarter earnings report:Lower deliveries and prices pressured profitability. Automotive gross profit margins, excluding regulatory credi… [+216 chars]",tesla,"The Rest of the Results Beyond EPS and revenue , here's what else was in Tesla's first-quarter earnings report: Lower deliveries and prices pressured profitability. Automotive gross profit margins, excluding regulatory credits, came in at 16.4%, down from almost 19% a year ago. The …",284.0,"['rest', 'results', 'beyond', 'eps', 'revenue', 'else', 'first-quarter', 'earnings', 'report', 'lower', 'deliveries', 'prices', 'pressured', 'profitability', 'automotive', 'gross', 'profit', 'margins', 'excluding', 'regulatory', 'credits', 'came', 'almost', 'year', 'ago']",25
"{'id': None, 'name': 'Yahoo Entertainment'}",Arpan  Chaturvedi and Aditya Kalra,Tesla vs. Tesla: US carmaker sues Indian namesake for copying trademark,"Elon Musk's carmaker Tesla has sued an Indian battery maker for infringing its trademark by using the brand name ""Tesla Power"" to promote its products...",https://finance.yahoo.com/news/tesla-vs-tesla-us-carmaker-114200415.html,https://media.zenfs.com/en/reuters-finance.com/9ccb2e45d01770af6c122573eadd24b8,2024-05-03T11:42:00Z,"By Arpan Chaturvedi and Aditya Kalra
NEW DELHI (Reuters) - Elon Musk's carmaker Tesla has sued an Indian battery maker for infringing its trademark by using the brand name ""Tesla Power"" to promote i… [+1791 chars]",tesla,"Tesla vs. Tesla: US carmaker sues Indian namesake for copying trademark Elon Musk's carmaker Tesla has sued an Indian battery maker for infringing its trademark by using the brand name ""Tesla Power"" to promote its products...",225.0,"['vs', 'us', 'carmaker', 'sues', 'indian', 'namesake', 'copying', 'trademark', 'elon', 'musk', 'carmaker', 'sued', 'indian', 'battery', 'maker', 'infringing', 'trademark', 'using', 'brand', 'name', 'power', 'promote', 'products']",23
"{'id': 'abc-news', 'name': 'ABC News'}",Leah Sarnoff,Are lab-grown diamonds as sustainable as advertised?,Over 60% of lab-grown diamonds are produced in China and India where 63% and respectively 74% of grid electricity results from coal.,https://abcnews.go.com/Business/lab-grown-diamonds-sustainable-advertised/story?id=109046877,https://i.abcnewsfe.com/a/91ba7221-ffc6-4c7f-bf86-c565e9390c9f/lab-diamonds-1-gty-dp-041024_1712780174093_hpMain_16x9.jpg?w=1600,2024-04-23T10:37:44Z,"ABC News is taking a look at solutions for issues related to climate change and the environment with the series The Power of Us: People, The Climate, and Our Future.
The natural diamond industry has… [+9190 chars]",tesla,Are lab-grown diamonds as sustainable as advertised? Over 60% of lab-grown diamonds are produced in China and India where 63% and respectively 74% of grid electricity results from coal.,185.0,"['lab-grown', 'diamonds', 'sustainable', 'advertised', 'lab-grown', 'diamonds', 'produced', 'china', 'india', 'respectively', 'grid', 'electricity', 'results', 'coal']",14
